sents,topics,sentiments
đối với người lần đầu tìm hiểu directx với những yêu cầu đặt ra là rất khó .,1,0
giảng dạy thật sự quá nhanh !,0,0
vui tính dễ chịu với sinh viên .,0,2
"môn học cung cấp nhiều kiến thức cần thiết , đặc biệt là cô dạy rất tận tâm và hướng đến sinh viên .",1,2
do nghỉ cho năm nhất học quốc phòng nên quá trình học bị gián đoạn .,1,0
"truyền đạt dễ hiểu , nhiệt tình giảng bài , dễ mến .",0,2
dạy chưa nhiệt tình .,0,0
"cô dạy rất hay , cuốn hút .",0,2
môn học này rất thú vị và có ứng dụng nhiều trong thực tiễn cuộc sống !,1,2
"bám quá sát slide , ít khi đưa ra ý tưởng mới .",0,0
cô dạy rất hay và dễ hiểu .,0,2
"giảng viên tận tình , hay giúp đỡ sinh viên .",0,2
em nghĩ nên giảm bớt chương trình đào tạo với môn này .,1,0
khuyến nghị nên chia 3 tiết 1 buổi .,1,0
té patin cũng đau .,3,0
"bài tập hay , nâng cao .",1,2
phong cách giảng bài của cô tạo sự cuốn hút người nghe cảm giác thoải mái .,0,2
"giáo viên nên tránh giảng dài dòng , dễ gây khó hiểu cho sinh viên .",0,0
kiểu đề thi trắc nghiệm quá phức tạp .,1,0
thường xuyên cho bài tập làm trên lớp để nắm bài .,0,0
cách giảng dạy hay .,0,2
có nhiều bài toán liên quan thực tiễn .,0,2
thầy cho chép nhiều .,0,0
thầy dạy hay và tận tình .,0,2
"dễ chịu và giảng dễ hiểu , tạo cảm giác thích thú cho sinh viên .",0,2
áp dụng bài học vào thực tế .,1,2
"phương pháp giảng dạy hay , thu hút .",0,2
em nghĩ nhà trường nên kiểm tra kỹ trình độ giảng viên trước khi bố trí để họ dạy một môn học nào đó .,1,0
nhiều lúc cô wzjwz233 hơi nhầm lẫn .,0,0
nếu không thì coi như lớp đi toi .,3,0
khả năng truyền đạt kiến thức sinh viên khó tiếp thu hết .,0,0
"giảng viên có các hoạt động phù hợp với nội dung bài học , tận tâm , nhiệt tình .",0,2
cô dạy vui .,0,2
thầy nói khá nhỏ và nhanh cũng không sử dụng giáo án điện tử làm học sinh rất khó tiếp thu .,0,0
"cho sinh viên sử dụng bóng không đạt yêu cầu , đa số là bóng đã qua sử dụng ( môn bóng đá ) .",0,0
"giảng viên tận tình , dạy hay .",0,2
"giảng dạy có tâm huyết với học sinh , và giảng hiệu quả .",0,2
"cô dạy rất nhiệt tình , giảng rất hay .",0,2
"thầy wzjwz14 rất tận tâm truyền dạy không những kiến thức chuyên môn mà còn rất nhiều kiến thức , kinh nghiệm quý về cuộc sống .",0,2
"em rất đồng tình với cách thông tin đến sinh viên của thầy wzjwz134 , thầy thông tin cho sinh viên qua facebook giúp sinh viên nắm thông tin nhanh hơn qua trang courses hay daa .",0,2
"giảng viên tận tâm , nhiệt tình , kiến thức và khả năng truyền đạt của giảng viên rất tốt .",0,2
dễ tiếp thu .,1,2
thầy có phương pháp giảng dạy hiệu quả .,0,2
"anh văn ở đại học không thể dạy giống như cấp 3 được khi cô dạy lớp im không sôi nổi , chỉ có vài người giơ tay vì câu hỏi không mang tính tương tác , câu trả lời có sẵn trong bài chỉ cần đọc lên nên nhiều người chán không giơ tay , đi học chỉ để điểm danh .",1,0
"thực sự thì khả năng truyền đạt không hấp dẫn , dễ buồn ngủ và khó hiểu .",0,0
tài liệu của môn này quá ít .,1,0
giảng viên nên chấm deadline về nhà sớm hơn .,0,0
giảng viên giảng dạy rất tận tâm .,0,2
em cảm thấy hài lòng với môn này .,1,2
thầy lên lớp sớm .,0,2
giúp sinh viên nâng cao được khả năng lập trình .,3,2
"thầy thông cảm cho sinh viên , ra bài tập vừa sức .",0,2
cần mớ lớp anh văn thêm để nâng cao trình độ cho sinh viên .,1,0
thầy nói rất lôi cuốn ( mặc dù không cần micro ) .,0,2
cần tăng thêm số lượng thiết bị thực hành .,2,0
mong thầy cho thêm bài tập về nhà và share slide .,0,0
"giáo viên dạy đúng giờ , tận tình giải đáp những thắc mắc của học sinh .",0,2
"nhưng thầy thử nghĩ nếu em muốn ngủ mà cứ phải lên lớp thì thầy có thích khi nhìn xuống lớp giảng viên thì dạy , sinh viên thì ngủ mà vẫn có điểm danh như vậy thì có được không .",0,0
"mở các lớp tiếng anh tăng cường , để sinh viên được cải tiến chất lượng học tập tốt hơn , không tính điểm vào học phần , học phí có thể không free .",1,0
em xim cám ơn !,3,1
ôn tập tỉ mỉ .,0,2
sự cố như sau doubledot đang học thì tất cả số đèn của nửa căn phòng đều tắt .,2,0
nhưng một số phần trong môn học em thấy thiếu thực tế ạ .,1,0
"cần các thầy xây dựng một bộ giáo trình , tài liệu cụ thể .",1,0
thầy rất tâm lý và giảng dạy rất nhiệt tình .,0,2
giảng viên nhiệt tình với sinh viên trong các buổi học .,0,2
"tận tâm , quan tâm sinh viên !",0,2
"giảng viên dạy sinh động , dễ hiểu .",0,2
thầy nên kết hợp hình ảnh và ví dụ hoá cho từng bước của giải thuật ở trong slide thay vì chữ quá nhiều sẽ khiến sinh viên khó tiếp thu hơn .,0,0
"làm các bài lab trên win server 2012 rất khác so với win server 2003, mà lại toàn cho làm các bài lab trên win server 2003, có vẻ cũ .",3,0
"giảng viên nên giảng sâu vào chương trình học , tránh lan man , dài dòng .",0,0
sự vui vẻ .,3,2
có bài tập rõ ràng .,1,2
"không rõ "" thu được gì "" từ môn học này .",3,0
"khi có sự cố về các môn học , thầy cũng gặp lớp để trao đổi , và giúp cho các thành viên trong lớp có hướng giải quyết tốt hơn ( không chỉ về môn học của thầy ) .",0,2
cô nhiệt tình và thân thiện .,0,2
chuẩn bị âm thanh trước môn học ổn định để tránh mất thì giờ vì điều chỉnh âm thanh trong phòng học .,3,0
"thầy nên dạy đúng giờ bắt đầu , đúng giờ kết thúc trừ trường hợp bất khả kháng , bài dài .",0,0
sau khi học xong 2 môn học wzjwz168 và wzjwz87 lớp do thầy wzjwz88 làm giảng viên lý thuyết và thầy wzjwz89 làm giảng viên em thấy một điều thế này .,3,1
"giảng viên không sử dụng moodle làm kênh thông tin liên lạc với học sinh , không up slide tài liệu bài giảng lên gây khó khăn cho việc nắm bắt thông tin về yêu cầu môn học và khó khăn trong học tập .",0,0
"giáo viên vui , tạo cảm hứng cho học sinh hoạt động trong lớp , em rất thích .",0,2
cô thường xuyên cung cấp bài tập và kiến thức thực tiễn mà các doanh nghiệp dùng để kiểm tra và giảng bài kỹ càng chi tiết .,0,2
giảng viên dạy hay và nhiệt tình .,0,2
giáo viên rất nhiệt tình giảng dạy cho sinh viên .,0,2
thầy giảng thường không đúng trọng tâm bài .,0,0
phòng học ngay cạnh bên công trường .,2,0
"môn thực hành cần có bài tập về nhà , tài liệu cập nhật rõ ràng hơn .",1,0
"giảng hay , nhiệt tình vui vẻ và rất quan tâm đến sinh viên .",0,2
"giáo viên tận tình , giảng bài dễ hiểu .",0,2
không có bài giảng trên moodle .,0,0
nói nhanh trong lúc giảng bài .,0,0
thầy dạy khá dễ hiểu .,0,2
"nhiệt tình với tất cả các câu hổi , ý kiến của sinh viên .",0,2
"cô rất nhiệt tình , luôn tận tâm truyền đạt kiến thức cho sinh viên .",0,2
thầy bận đôi khi nghỉ không báo trước .,0,0
"thầy wzjwz255 dạy nhiệt tình , có pha chút hài hước để lớp thoải mái .",0,2
"thầy dạy rất tâm huyết , dạy chậm và kỹ lưỡng .",0,0
thầy vui lòng soạn slide bài giảng để tụi em có thể ôn bài ở nhà .,0,0
mong cô sẽ truyền đạt một cách nhiệt huyết hơn nữa .,0,0
thầy nhiệt tình !,0,2
thầy cho nhiều bài tập ok .,0,2
tiết học sinh động .,0,2
"giảng viên nhiệt tình , khả năng truyền đạt tốt , tạo cảm hứng cho sinh viên muốn lên lớp .",0,2
nguồn tài liệu tự học không nhiều .,1,0
"cô dạy nhiệt tình , có bài tập rèn luyện .",0,2
"truyền đạt tốt , giọng nói to rõ ràng .",0,2
thầy wzjwz214 giảng rất hay và đưa ra nhiều ví dụ thực tiễn dễ hiểu .,0,2
ngôn ngữ thực hành các bài lab của từng bộ môn nên được trang bị trước cho sinh viên .,1,0
slide hướng dẫn rất trực quan và bổ ích .,1,2
không có tính thực tiễn .,1,0
"không biết là học để làm gì , nên đi sâu vào chuyên ngành từng khoa .",1,0
cô wzjwz204 giảng dạy rất nhiệt tình và chuyên nghiệp .,0,2
thầy dạy nhiệt tình nhưng cách dạy của thầy hơi khô khan .,0,0
"giảng viên đã kết hợp vừa học lý thuyết vừa giải bài tập giúp sinh viên dễ tiếp thu kiến thức , kỹ năng mới .",0,2
đề hơi khó với thực tế .,1,0
"thấy rất giỏi và dạy rất tốt , nhiệt tình , dễ hiểu .",0,2
"cung cấp đủ tài liệu về môn học , giảng viên tâm huyết với lớp .",0,2
"cô dạy rất chi tiết , dễ hiểu , biết cách truyền cảm hứng cho sinh viên .",0,2
tiếp thu được nhiều kiến thức .,1,2
cách truyền đạt của giảng viên tốt .,0,2
giảng viên nên cũng cấp slide cho sinh viên .,0,0
các giảng viên cần thống nhất chương trình dạy giữa các lớp với nhau .,0,0
chưa có nhiều bài tập cho sinh viên .,1,0
"môn này rất chán , giáo viên dạy cũng chán , nói chung vô cùng không hài lòng với môn này .",1,0
rất nhiệt tình .,0,2
nên cập nhật kiến thức thực tiễn .,1,0
còn một số mục khó nhưng hay thì cô lại dạy lướt qua .,0,0
cô chỉ dạy lý thuyết một cách cứng nhắc .,0,0
thầy giảng bài khó hiểu quá .,0,0
được thực hành những bài tập mang tính vận dụng kiến thức đã học cao .,1,2
"giảng viên ghi chép quá nhiều , tốn thời gian .",0,0
dạy rất sát với giáo trình của trường đưa ra .,0,2
"dạy theo phương pháp truyền thống , lối mòn , lặp khuông như dạy ngữ pháp , giải bài tập .",0,0
giọng cô dễ nghe .,0,2
nội dung giảng dạy của giảng viên còn sơ sài .,0,0
tiếng anh .,3,1
"thiết bị về máy chiếu chưa được tốt , mong nhà trường tạo điều kiện .",2,0
bài tập về nhà hơi khó .,1,0
thầy quá tuyệt vời coloncontemn .,0,2
"giảng viên dạy rất kỹ , quan tâm đến sinh viên .",0,2
cần cung cấp nhiều thông tin bài học hơn .,1,2
"một số kiến thức chỉ được giới hạn trong khuôn khổ của môn học , cần phát huy thêm khả năng tìm tòi sáng tạo của sinh viên trong các định lý định nghĩa có sẵn .",1,0
"hệ thống chấm điểm wecode kém thông minh , thường hay chấm sai cho những kết quả tương đương với kết quả đúng , thường gặp nhiều lỗi ngớ ngẩn .",1,0
giảng viên và trợ giảng đều rất nhiệt tình quan tâm đến học sinh .,0,2
cần nêu các công thức cơ bản khi dạy anh văn bổ túc .,1,0
có nhiều kiến thức bổ ích cho sinh viên và rất tận tâm .,0,2
tập trung vào giải thích vài kiến thức cơ bản .,0,0
thầy rất tốt với học sinh .,0,2
tăng cường chất lượng wifi cho các phòng lab .,2,0
"em đã đi làm , em không phủ nhận những kiến kiến nền tảng trên trường đại học nhưng thực sự tụi em phải trải qua quá trình đào tạo rèn luyện lại để phù hợp với môi trường doanh nghiệp .",1,0
"nên có những giáo trình hướng dẫn giải bài tập nhiều hơn vì trong trường dường như chỉ có 1 , 2 loại giáo trình bao gồm cả lý thuyết và bài tập chứ không có giáo trình hướng dẫn giải bài tập .",1,0
nên đơn giản hóa với các phần không quan trọng .,1,0
đưa slide bài giảng còn thiếu nội dung .,0,0
giảng viên có việc bận cho nghỉ nhiều .,0,0
nên hơi choáng do tự học quá nhiều .,3,0
"môn nhập môn quản trị doanh nghiệp thầy wzjwz111 dạy thường xuyên nghỉ học , lại không có thông báo trước .",0,0
nói hơi nhanh .,0,0
giải bài tập về nhà .,0,1
bài tập cô đảm bảo đủ và bám theo nội dung lý thuyết !,1,2
giảng dạy hết mình .,0,2
"sự tận tâm , nhiệt tình , đảm bảo thời gian và kiến thức cho sinh viên .",0,2
"thầy dạy hay , cho bài tập rất nhiều .",0,2
giảng dạy chi tiết .,0,2
dạy rất có tâm .,0,2
cần cung cấp tài liệu đầy đủ và chính xác hơn .,1,0
"thầy còn giảng bài hơi nhỏ , sinh viên tụi em lắng nghe không rõ .",0,0
biết ứng dụng kiến thức đã học vào thực tiễn tạo hứng thú cho sinh viên .,0,2
"giảng viên khá nhiệt tình và tận tâm , bài giảng dễ hiểu .",0,2
"thầy nói có phần khó hiểu , ít làm bài tập .",0,0
hấp dẫn .,3,2
"tận tình , kiến thức dễ hiểu .",0,2
thầy cho chép nhiều quá .,0,0
không có tâm dạy .,0,0
"thầy truyền đạt tốt , giảng bài dễ hiểu .",0,2
đến hôm tiếp theo thì thầy lại nạp cho bọn em nhiều kiến thức mới dẫn đến khó hiểu hơn .,0,0
"có thể cho nhiều bài kiểm tra mỗi phần để biết được tình trạng học tập , hiểu bài của sinh viên .",1,0
hài lòng tất cả .,3,2
tăng thêm giờ học ngoại khoá .,1,0
"giảng dạy hầu như không hướng dẫn tận tình , cho bài tập khá bất hợp lý .",0,0
cần tăng thêm nhiều tiết thực hành .,1,0
nhưng trên hết tụi em vẫn biết đó là ý tốt của thầy .,0,2
mong các thầy cô hãy đưa bài này đến thầy wzjwz54 !,0,0
em nghĩ có nhiều hoạt động giao tiếp bắng tiếng anh thì sẽ hay hơn rất nhiều .,1,0
"dạy dễ hiểu , kể chuyện vui .",0,2
cách đánh giá bài tập lớn cuối kỳ cũng không được khách quan .,0,0
thầy còn cho ít bài tập .,0,0
giảng viên sửa ít bài tập .,0,0
thầy rất nhiệt tình và giải đáp tất cả thắc mắc của sinh viên .,0,2
thầy rất nhiệt tình giảng dạy và tạo môi trường hỗ trợ sinh viên học tập tốt nhất có thể .,0,2
"bài tập tại lớp còn hơi ít , hướng dẫn hơi nhanh !",1,0
nên cung cấp thêm tài liệu và bài tập cho sinh viên .,1,0
nội dung còn khá khó để tiếp thu .,1,0
"mong cô thay đổi cách dạy cho hiệu quả hơn , để sinh viên yêu thương cô nhiều hơn .",0,0
giáo viên tuyệt vời .,0,2
english is good .,3,2
"nhiệt tình , khả năng truyền đạt tốt .",0,2
cách dạy môn này của giảng viên vô tình càng làm phân loại sinh viên ( giỏi càng giỏi hơn còn yếu rồi thì có muốn học cũng khó mà học được nên càng ngày càng yếu ) .,0,0
cô dạy rất vui !,0,2
không thể nào đầu tư vô mỗi một môn java này .,1,0
"buổi góp ý đánh giá trước khi hoàn chỉnh đồ án thầy xem sơ sài , không chỉ ra chỗ sai lớn nhất đến bài chính thức thì thầy chấm kỹ .",0,0
"hầu hết các bài đều rất khó hiểu vì cô đã lượt bỏ mất phần giải cho các bài ví dụ trên slide , nên rất khó theo dõi và nắm bắt .",0,0
luôn nhiệt tình và tận tâm .,0,2
"cô không thể cả năm không gặp mặt sinh viên , lúc đầu em còn nghĩ tiết thực hành này được miễn nghỉ rồi 3 tuần cuối , mỗi tuần 1 đồ án giao cho sinh viên .",0,0
"thầy hay dạy quá giờ , 3h15 kết thúc nhưng hơn 3h30 mới cho về .",0,0
giáo viên nên có code mẫu cho sinh viên .,0,0
thời khóa biểu linh hoạt phù hợp cho sinh viên đang đi thực tập .,1,2
thầy dạy khá kỹ .,0,2
hay lên lớp muộn .,0,0
hình thức điểm danh .,3,0
thầy dạy rất nhiệt tình và luôn tạo được cảm hứng và sự yêu thích cho sinh viên đối với môn học cũng như cách học .,0,2
"tận tình , gần gũi .",0,2
"thầy dạy hơi nhanh , đa số sinh viên không theo kịp .",0,0
"chấm điểm thiếu công bằng , thực hành tại máy trường mà chấm bài cài đặt phần mềm trên laptop .",0,0
"tôi và các bạn khác cùng bước vào , khi đó thầy yêu cầu đồng loạt mở hết code lên chạy demo để thầy chấm , và không may thay thầy đã tìm ra 2 bạn có source code y chang nhau , thầy bắt đầu tra hỏi lý thuyết về đề tài 'xxx' đối với 2 bạn đó .",0,1
"thầy dạy hay , rất tốt , tận tâm .",0,2
"giảng viên nhiệt tình , truyền đạt dễ hiểu .",0,2
những thông tin mới nhất liên quan đến ngành luôn đến với chúng em qua những tiết giảng dạy của thầy .,0,2
"giảng viên dạy hay , mang tính thực tế .",0,2
giáo viên hướng dẫn kỹ càng .,0,2
"dễ tiếp thu , thân thiện , nhiệt tình .",0,2
giảm bớt thời gian phần speaking bắt kịp tốc độ giảng dạy .,1,0
quá trình giảng dạy còn hơi nhanh .,0,0
giảng bài hơi nhanh .,0,0
thường xuyên nghỉ mà không báo trước để sinh viên biết .,0,0
môn học cung cấp nhiều kiến thức bổ ích .,1,2
"bài tập ngập mặt , deadline vào giờ khó đỡ .",1,0
"tạo ra được những trò chơi và cách tiếp cận môn học mới mẻ , hiệu quả , giảng viên nhiệt tình , tận tâm với người học .",0,2
"cảm ơn thầy , thầy rất tuyệt vời , mong thầy tiếp tục giữ lửa cho khóa sau .",0,2
"giảng dạy kỹ kiến thức cơ bản , cho ví dụ và bài tập từ dễ đến khó , hướng dẫn sinh viên giải bài tập .",0,2
thầy cho làm nhiều bài tập để hiểu rõ hơn .,0,2
hay trả lời thắc mắc của sinh viên .,0,2
các hoạt động giảng dạy trên lớp của cô khá phong phú và hay .,0,2
giảng viên wzjwz229 không dạy mà chỉ có thầy wzjwz230 thôi nên không biết nhận xét .,0,0
"cô dạy quá nhanh , sinh viên chưa kịp hiểu cho ví dụ ít , bài tập ít , làm bài tập lướt nhanh khi sinh viên chưa hiểu kịp cô phát âm không chuẩn .",0,0
hoạt động giảng dạy của giáo viên đưa ra quá cao so với trình độ học của lớp .,0,0
cô dạy quá tuyệt vời không còn điều gi để nói .,0,2
thầy cho nhiều ví dụ gần với thực tế hơn .,0,2
bài giảng khô khan .,1,0
thầy rất tận tình với sinh viên .,0,2
đôi khi bị lố giờ giảng .,1,0
"dễ hiểu , trình bày bài tập rõ ràng .",0,2
thầy rất nhiệt tình và tận tâm với sinh viên .,0,2
phải trả lời những câu hỏi của sinh viên một cách nhanh nhất .,0,0
"thầy dạy rất hay , em cám ơn thầy .",0,2
"giáo viên vui tính , tốt bụng .",0,2
"giảng viên không quan tâm cách thực hiện , chỉ quan tâm tới kết quả làm được , không biết kết quả đó thực hiện thế nào .",0,0
"thầy rất tâm huyết trong việc truyền đạt kinh nghiệm , luôn nhắc nhở sinh viên ý thức về việc học của mình .",0,2
thầy rất nhiệt tình với sinh viên !,0,2
cách giảng của cô hơi buồn ngủ .,0,0
đôi lúc giảng viên nói nhỏ nên em không nghe được .,0,0
bài giảng hơi nhanh .,1,2
"môn này chẳng khác gì mấy môn học xàm xàm học cho qua , chẳng thu được kiến thức gì .",1,0
ít hoạt náo dễ gây buồn ngủ .,0,0
"trang thiết bị cần được hỗ trợ tốt hơn , chất lượng máy chiếu không được như ý , khá mờ làm chất lượng thuyết trình và việc giảng dạy không được tốt .",2,0
giữa sinh viên và giảng viên chưa có sự trao đổi gắn kết .,0,0
sử dụng khá nhiều thời gian trên lớp để nói về những điều khá căn bản .,0,0
"tận tâm , vui vẻ hòa đồng .",0,2
hay gợi những thực tế vào bài học .,0,2
môn học trang bị kiến thức tổng quát về các ngành học .,1,2
"đi trễ , dạy chậm .",0,0
nhiều tiết tự học do sinh viên tự thuyết trình .,0,1
chịu khó giảng lại nhiều lần .,0,2
thay đổi hệ thống âm thanh phòng học .,2,0
"tận tâm , nhiệt tình .",0,2
"phòng học thực hành quá bé , bụi và bẩn , hệ thống máy tính không sử dụng được .",2,0
lớp học khá chật so với số lượng sinh viên .,2,0
khả năng truyền đạt chưa thực sự xuất sắc .,0,1
"giảng viên giảng dạy nhiệt tình , đóng góp ý kiến thẳng thắng , không tạo áp lực , chấm điểm chuẩn xác .",0,2
"thầy dạy tận tâm , nhiệt tình , vui tính .",0,2
"thầy giảng rất nhiệt tình , dễ hiểu , nội dung slide bài giảng chi tiết , dễ hiểu .",0,2
em có góp ý nhỏ là trong giờ dạy lý thuyết thì những chỗ trọng tâm và thiết thực của môn học thì thầy nên nhấn mạnh và giảng giải nhiều hơn để chúng em chú ý hơn những chỗ đó ạ .,0,0
nghiêm túc .,0,1
"giảng hay , ra bài tập hay .",0,2
quan tâm nhiều đến sinh viên .,0,2
"điều em không hài lòng nhất là cô cho nghỉ quá nhiều , đến gần cuối kỳ cô mới dạy và học bù để chạy bài .",0,0
giảng viên hài hước .,0,2
"nội dung ôn tập thi giữa kỳ và cuối kỳ nên đa dạng hơn , có thêm các câu hỏi lý thuyết suy luận thay vì chỉ là 10% bài tập có thể khiến nhiều sinh viên không hiểu rõ nội dung môn học mà chỉ biết làm bài tập .",1,0
mỗi buổi thực hành giảng viên chỉ đưa sinh viên một file bài tập rồi bắt sinh viên làm nhưng không có hướng dẫn và đưa ra yêu cầu cụ thể .,1,0
giảng viên hướng dẫn tận tình chu đáo .,0,2
nên tổ chức thi hình thức trăc nghiệm .,1,0
cách giảng dạy không tạo được hứng thú cho sinh viên khi học .,0,0
cần ra các bài thực hành sát với thực tế môn học hơn .,1,0
"tận tình , quan tâm đến sinh viên .",0,2
slide của thầy đưa cho sinh viên có nhiều chỗ sai .,1,0
"giảng viên nên thường xuyên lên lớp , và không để trường hợp thay thế giảng viên khác .",0,0
thầy dạy hay nắm được kiến thức .,0,2
"cô nhiệt tình , thoải mái , giải đáp thắc mắc của sinh viên khá nhanh .",0,2
tăng thời gian thực hành .,1,0
"cô chỉ cho bài tập về nhà kêu làm và nộp , không giải thích gì thêm .",0,0
đôi khi hơi nhàm chán .,0,0
"lớp có 3 thầy nhưng không biết thầy wzjwz282 , 3 thầy đó là doubledot wzjwz283 , wzjwz284 , wzjwz285 .",0,1
"đa phần là tự học là chính , có thể là do chương trình đại học quốc gia .",1,0
cô dạy rất nhiệt tình và tâm huyết .,0,2
"thầy hay cho deadline hằng tuần , đảm bảo kiến thức cho sinh viên .",0,2
không nêu rõ ví dụ chi tiết cho các bài tập .,1,0
"phòng học còn thiếu chất lượng , trời nóng nên bố trí thêm quạt cho dãy hai bên phòng .",2,0
em hiện chưa biết mặt thầy luôn ạ .,0,0
sinh viên có cảm giác thầy giảng như cho có .,0,0
hoàn thiện giáo trình thực hành .,1,1
slide còn khó hiểu .,1,0
nắm bắt được những điều khái quát ban đầu về môn học của mình .,1,2
"rất nhiều vấn đề khó hiểu nhưng thầy không dạy một cách tường tận khiến sinh viên rơi vào "" hố đen "" .",0,0
giảng viên dạy rất tốt theo nhiều mặt .,0,2
"cô dạy hay , truyền đạt cũng tốt .",0,2
"giảng viên dạy hay , hướng dẫn rõ ràng .",0,2
"giảng viên sử dụng giờ hợp lý , giảng dạy dễ hiểu .",0,2
"vì đôi khi một đề lâp trình nào đó có thể người này đã làm qua rồi , người khác thì chưa hề đọc qua kiến thức ấy trong khi thời gian làm bài chỉ có 60 phút .",3,0
"nên bỏ kiểm tra code trên giấy , thay vào đó code bằng máy tính sẽ dễ sửa lỗi và điều chỉnh hơn .",1,0
giáo viên rất tận tình trong quá trình giảng dạy .,0,2
giáo viên dạy nhiệt tình hiệu quả .,0,2
phòng lab còn chưa đáp ứng tốt .,2,0
"giọng nói hơi khó nghe , ngoài ra không có gì không hài lòng .",0,0
sáng tạo .,3,2
các bài tập thực hành áp dụng được kiến thức đã học trên lớp .,1,2
"giảng viên nhiệt tình , tài liệu đầy đủ , đảm bảo gờ lên lớp .",0,2
thầy dạy rất dễ hiểu và hài hước .,0,2
cần mở câu lạc bộ anh văn .,1,0
"không quy định rõ ràng quy định khi cho sinh viên làm đồ án , còn một tháng cuối mới gửi mail thông báo làm sinh viên thay đổi không kịp .",0,0
"giảng viên nhiệt tình , giảng dạy kỹ càng , chi tiết , bám sát chương trình .",0,2
"cần có thêm giáo trình , tài liệu để sinh viên dễ tìm hiểu hơn .",1,0
thầy wzjwz171 tích cực cho và chủ động giải những ví dụ rất nhiều và dễ hiểu .,0,2
đôi lúc cô dạy hơi khó hiểu .,0,0
"dạy đầy đủ chương trình , tích cực kiểm tra học sinh .",0,2
đôi khi quá nghiêm túc .,0,0
"giảng viên tận tình chỉ dạy , truyền đạt tốt .",0,2
"nhưng số buổi gặp cô ít quá , mong phòng đào tạo sắp xếp số buổi được gặp nhiều hơn .",0,0
"tiết thực hành nên tập trung vào đồ án , những cái chưa làm được .",1,0
"thầy dạy rất nhiệt tình , nội dung dạy truyền đạt đầy đủ và chi tiết .",0,2
"em thích cách dạy của cô , kết hợp thuyết trình và cuối tiết đánh giá góp ý cho sinh viên , giúp phát triển kỹ năng nói cho sinh viên .",0,2
phòng lab rất nhỏ và ít thiết bị nên chất lượng học tập môn học không đảm bảo .,2,0
thầy đến lớp muộn 15 phút .,0,0
nên chuyển qua phòng học khác không có máy tính và nhỏ hơn .,2,0
"thầy giáo vui tính , nhiệt huyết giảng dạy dễ hiểu .",0,2
tạo nhiều cơ hội cho sinh viên trau dồi kiến thức cũng như cải thiện điểm số .,1,2
"khi lớp có các bạn vắng quá nhiều , thầy gọi lớp trưởng để nhác nhở các bạn trong lớp đi học .",0,2
"kiến thức trải dài , không tập trung .",1,0
để dành thời gian lên lớn đến giảng bài cho sinh viên hiểu và giải đáp thắc mắc cho sinh viên không phải em mà rất nhiều người khác cũng phàn nàn về cách dạy của thầy .,0,0
tâm huyết và nhiệt tình với sinh viên .,0,2
"thầy dạy dễ hiểu , tận tình với sinh viên .",0,2
"giảng viên tận tâm , nhiệt tình , bài giảng khá kỹ .",0,2
giảng viên không sử dụng hiệu quả thời gian trên lớp mỗi buổi học .,0,0
đôi lúc không tiếp thu được .,0,0
"thầy dạy rất nhiệt tình và thầy rất năng động , luôn giải đáp các khúc mắc của sinh viên và nhất là khúc mắc về đồ án .",0,2
"có một điều rất bất cập là tiến độ của thực hành đi trước lý thuyết rất nhiều , thực hành đã qua từ rất lâu trong quá trình thực hành thì việc tìm hiều thông tin , tiếp thu rất khó khăn , một thời gian sau , gần hết học kỳ thì lý thuyết mới dạy tới phần đó .",1,0
làm khó sinh viên .,3,0
"thưa , thầy dạy rất dễ hiểu và luôn áp dụng bài học trên những dòng code thực tế và chạy trước lớp .",0,2
"dạy nhiệt tình , dễ hiểu .",0,2
trình độ chuyên môn đáng ngại .,0,0
"ngoài các cuộc thi về game thì trường nên tổ chức những cuộc thi viết phần mềm hay sáng tạo ý tưởng phần mềm theo một hướng nào đó để học sinh vừa có thể học tập vừa có thể thi đua nhiều hơn , tạo sự năng động trong sinh viên .",1,0
truyền đạt dễ hiểu chi tiết .,0,2
cần nghiêm khắc hơn trong quá trình học .,0,0
"cô rất nhiệt tình , dạy chi tiết , chuẩn bị bài hay nội dung trên courses cẩn thận .",0,2
ví dụ minh họa chưa thật sự gây hứng thú trong học tập .,1,0
"không đảm bảo tính khách quan , công bằng trong quá trình giảng dạy sinh viên giữa các khoa , luôn thiên vị khoa wzjwz156 .",1,0
cô nên quan tâm tới sinh viên hơn nữa .,0,0
không thấy được ứng dụng thực tế .,1,0
sắp xếp thời gian học phù hợp hơn cho cả sinh viên và giảng viên .,1,0
thầy wzjwz227 dạy rất hay và cực kỳ dễ hiểu .,0,2
có đôi lúc cô giảng nhưng em không hiểu .,0,0
có liên hệ môn học với thực tế .,0,2
không hài lòng cho lắm .,3,0
"bài tập về nhà quá nhiều , làm cho sinh viên không có nhiều thời gian để làm đồ án và học môn khác .",1,0
giảng viên giảng dạy cụ thể đưa ra ví dụ minh họa giúp sinh viên dễ tiếp thu bài .,0,2
"không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian !",0,0
"giảng viên nhiệt tình , đến lớp đúng giờ .",0,2
"cô vui vẻ , nhiệt tình .",3,2
theo em lý thuyết quan trọng nhưng cơ bản là sau khi học xong sinh viên có thể làm được gì mới là điều quan trọng nên em có đề xuất là tăng tỷ lệ điểm về phần thực hành lên mức tối đa có thể để đánh giá được kết quả học tập của sinh viên .,1,0
